"","match_id","start_time","duration","radiant_win","radiant_hero_id","dire_hero_id"
"30914",32149,2015-11-15 23:40:19,1708,"False","98,97,31,39,16","28,50,11,30,2"
"30915",32150,2015-11-15 23:40:19,3699,"False","59,1,31,29,74","42,58,4,106,27"
"30916",32151,2015-11-15 23:40:26,1982,"True","8,72,2,7,87","70,50,97,21,112"
"30917",32152,2015-11-15 23:41:10,2614,"True","21,109,14,64,75","86,36,8,16,52"
"30918",32153,2015-11-15 23:41:12,2101,"False","95,85,44,26,63","78,84,96,11,21"
"30919",32154,2015-11-15 23:41:15,2444,"False","11,1,92,75,6","52,17,95,7,60"
"30920",32155,2015-11-15 23:41:19,2844,"False","44,39,63,82,37","110,106,99,3,9"
"30921",32156,2015-11-15 23:41:37,2564,"False","47,75,76,74,53","6,104,40,15,4"
"30922",32157,2015-11-15 23:41:52,1673,"True","35,17,9,7,104","74,12,87,90,28"
"30923",32158,2015-11-15 23:42:07,2367,"True","75,104,15,3,21","11,98,99,101,1"
"30924",32159,2015-11-15 23:42:02,2730,"True","32,8,74,42,112","6,101,62,85,49"
"30925",32160,2015-11-15 23:42:21,2321,"True","35,67,4,30,59","36,69,23,21,1"
"30926",32161,2015-11-15 23:42:11,2887,"False","104,21,100,93,39","91,77,28,101,81"
"30927",32163,2015-11-15 23:42:35,3188,"False","45,64,69,25,78","5,96,57,72,11"
"30928",32164,2015-11-15 23:42:46,2348,"False","86,21,103,100,67","11,63,8,84,64"
"30929",32165,2015-11-15 23:43:12,2318,"True","47,32,14,5,12","21,98,90,86,106"
"30930",32166,2015-11-15 23:43:01,1996,"False","46,7,28,30,48","73,69,31,50,36"
"30931",32167,2015-11-15 23:43:35,2629,"False","93,73,99,16,4","110,44,34,36,104"
"30932",32168,2015-11-15 23:44:02,1913,"True","71,21,62,59,50","86,6,57,96,64"
"30933",32170,2015-11-15 23:44:05,2934,"False","21,96,57,95,30","67,5,11,100,16"
"30934",32171,2015-11-15 23:44:04,1857,"True","68,36,100,74,18","61,93,86,73,21"
"30935",32172,2015-11-15 23:43:54,3077,"False","16,73,35,42,21","28,69,98,43,93"
"30936",32173,2015-11-15 23:44:34,1779,"False","112,1,14,97,110","36,70,26,72,100"
"30937",32174,2015-11-15 23:44:44,1538,"True","30,6,27,93,51","91,52,73,86,19"
"30938",32175,2015-11-15 23:44:44,1607,"True","111,74,70,32,11","101,95,26,104,21"
"30939",32176,2015-11-15 23:45:13,2626,"True","4,94,3,6,47","75,22,104,33,19"
"30940",32177,2015-11-15 23:44:44,2178,"True","10,69,86,37,104","73,64,21,2,28"
"30941",32178,2015-11-15 23:45:14,2389,"False","112,106,25,88,72","90,104,71,93,59"
"30942",32179,2015-11-15 23:45:28,2652,"True","60,35,26,104,44","112,15,30,72,99"
"30943",32180,2015-11-15 23:45:51,2435,"False","23,97,67,31,62","110,39,42,54,36"
"30944",32181,2015-11-15 23:46:14,2485,"False","48,60,100,55,106","1,112,19,11,7"
"30945",32182,2015-11-15 23:46:14,1781,"False","71,1,47,69,3","112,100,19,42,85"
"30946",32183,2015-11-15 23:46:30,1640,"True","71,55,19,7,106","1,74,101,61,36"
"30947",32184,2015-11-15 23:46:53,2080,"False","75,46,104,5,11","30,85,18,74,26"
"30948",32185,2015-11-15 23:46:54,2483,"True","6,39,87,28,92","8,86,30,12,93"
"30949",32186,2015-11-15 23:47:03,3780,"True","4,100,86,32,104","74,14,1,33,53"
"30950",32187,2015-11-15 23:47:09,2866,"True","42,8,84,109,93","2,5,1,75,86"
"30951",32188,2015-11-15 23:47:09,3939,"False","97,11,112,109,99","78,41,16,46,68"
"30952",32189,2015-11-15 23:47:20,2989,"False","16,41,7,21,14","98,67,97,86,9"
"30953",32190,2015-11-15 23:47:31,2078,"True","34,95,100,70,32","45,93,68,71,76"
"30954",32191,2015-11-15 23:47:26,1532,"False","21,72,69,100,28","112,47,91,94,102"
"30955",32192,2015-11-15 23:47:47,2108,"False","35,14,21,11,71","15,25,44,61,18"
"30956",32193,2015-11-15 23:47:57,2257,"True","44,100,93,63,21","99,62,65,74,54"
"30957",32194,2015-11-15 23:48:04,1720,"True","94,93,73,30,27","110,104,74,72,26"
"30958",32195,2015-11-15 23:48:21,3244,"False","104,80,31,52,1","99,54,15,5,3"
"30959",32196,2015-11-15 23:48:34,2024,"True","30,11,9,74,60","99,62,64,7,15"
"30960",32197,2015-11-15 23:48:24,2726,"True","21,87,42,41,32","19,10,45,7,86"
"30961",32198,2015-11-15 23:48:58,1664,"False","53,19,3,14,60","29,7,59,95,6"
"30962",32199,2015-11-15 23:49:03,1973,"False","14,100,46,90,75","28,21,84,12,30"
"30963",32200,2015-11-15 23:49:12,1948,"False","71,32,46,91,73","47,11,33,31,72"
"30964",32201,2015-11-15 23:49:19,2817,"False","8,11,97,7,50","86,38,106,5,44"
"30965",32202,2015-11-15 23:49:13,2388,"True","93,68,11,50,28","21,60,112,55,42"
"30966",32203,2015-11-15 23:49:53,2815,"False","7,27,12,4,14","9,87,104,85,28"
"30967",32204,2015-11-15 23:50:09,2225,"True","59,41,50,26,73","69,106,35,72,86"
"30968",32205,2015-11-15 23:50:12,1674,"True","71,72,22,32,68","1,107,23,50,74"
"30969",32206,2015-11-15 23:50:23,2568,"True","40,98,112,106,1","72,59,50,2,85"
"30970",32207,2015-11-15 23:50:16,1787,"False","82,33,75,42,21","7,100,26,73,13"
"30971",32208,2015-11-15 23:50:04,3116,"True","69,39,8,62,28","11,70,9,72,87"
"30972",32209,2015-11-15 23:50:26,2210,"False","41,19,75,18,1","87,67,81,13,36"
"30973",32210,2015-11-15 23:50:13,1894,"True","100,57,104,86,44","95,91,50,68,59"
"30974",32211,2015-11-15 23:50:14,2764,"False","67,86,33,106,32","43,41,62,36,8"
"30975",32212,2015-11-15 23:50:28,3019,"True","39,18,36,44,3","20,26,63,46,104"
"30976",32213,2015-11-15 23:50:39,3155,"False","86,85,69,36,21","1,30,11,99,14"
"30977",32214,2015-11-15 23:50:49,2833,"True","4,95,5,99,47","62,102,21,6,19"
"30978",32216,2015-11-15 23:51:34,2067,"True","49,25,8,43,34","18,44,11,33,14"
"30979",32217,2015-11-15 23:51:48,2631,"True","87,21,70,37,39","94,7,84,73,3"
"30980",32218,2015-11-15 23:51:45,2458,"False","69,100,48,21,7","26,11,28,5,67"
"30981",32219,2015-11-15 23:51:49,2217,"False","60,2,21,59,68","63,71,73,87,44"
"30982",32220,2015-11-15 23:51:49,2703,"True","49,100,21,73,27","11,86,30,99,41"
"30983",32221,2015-11-15 23:51:52,2241,"False","27,7,73,8,53","99,38,83,56,68"
"30984",32222,2015-11-15 23:52:00,2183,"True","8,28,61,25,38","21,72,14,92,112"
"30985",32223,2015-11-15 23:52:18,2522,"True","53,18,55,112,106","25,28,104,76,9"
"30986",32224,2015-11-15 23:52:04,1757,"False","34,21,104,9,4","77,27,84,48,17"
"30987",32225,2015-11-15 23:52:20,3178,"True","87,31,28,11,72","106,109,100,86,85"
"30988",32226,2015-11-15 23:52:24,2000,"False","21,70,86,74,112","39,68,72,30,28"
"30989",32228,2015-11-15 23:52:47,2238,"True","104,102,46,49,86","47,94,28,100,27"
